object name,library name,text,rodata,data,bss,code,flash,ram
lib_a-xpg_strerror_r.o,..\..\components\newlib\armca5\libc.a,100,0,0,0,100,100,0
quec_modem_interface.c.obj,..\..\components\ql-kernel\libs\libq_modem.a,1548,870,0,0,2418,2418,0
quec_usbnet.c.obj,..\..\components\ql-kernel\libs\libq_usbnet.a,2416,1126,20,12,3542,3562,32
ql_api_bt.c.obj,..\..\components\ql-kernel\libs\libql_api_bt.a,11408,4916,0,137,16324,16324,137
ql_bt_a2dp.c.obj,..\..\components\ql-kernel\libs\libql_api_bt.a,1254,708,16,32,1962,1978,48
ql_bt_avrcp.c.obj,..\..\components\ql-kernel\libs\libql_api_bt.a,1664,974,16,11,2638,2654,27
ql_bt_hfp.c.obj,..\..\components\ql-kernel\libs\libql_api_bt.a,2948,1620,60,26,4568,4628,86
ql_gatt_client.c.obj,..\..\components\ql-kernel\libs\libql_api_bt.a,5748,3598,108,16,9346,9454,124
ql_gatt_server.c.obj,..\..\components\ql-kernel\libs\libql_api_bt.a,7040,4533,72,38,11573,11645,110
ql_api_camera.c.obj,..\..\components\ql-kernel\libs\libql_api_camera.a,1144,1055,0,52,2199,2199,52
ql_log.c.obj,..\..\components\ql-kernel\libs\libql_api_common.a,188,45,1,0,233,234,1
ql_api_datacall.c.obj,..\..\components\ql-kernel\libs\libql_api_datacall.a,5524,2843,0,40,8367,8367,40
ql_api_dev.c.obj,..\..\components\ql-kernel\libs\libql_api_dev.a,1372,532,0,0,1904,1904,0
ql_adc.c.obj,..\..\components\ql-kernel\libs\libql_api_drivers.a,300,0,2,0,300,302,2
ql_gpio.c.obj,..\..\components\ql-kernel\libs\libql_api_drivers.a,2460,786,0,128,3246,3246,128
ql_i2c.c.obj,..\..\components\ql-kernel\libs\libql_api_drivers.a,428,376,24,0,804,828,24
ql_keypad.c.obj,..\..\components\ql-kernel\libs\libql_api_drivers.a,322,299,0,0,621,621,0
ql_lcd.c.obj,..\..\components\ql-kernel\libs\libql_api_drivers.a,1056,372,12,8,1428,1440,20
ql_led.c.obj,..\..\components\ql-kernel\libs\libql_api_drivers.a,52,0,0,4,52,52,4
ql_pwm.c.obj,..\..\components\ql-kernel\libs\libql_api_drivers.a,308,350,0,4,658,658,4
ql_uart.c.obj,..\..\components\ql-kernel\libs\libql_api_drivers.a,3518,1378,24,144,4896,4920,168
ql_wifi_scan.c.obj,..\..\components\ql-kernel\libs\libql_api_drivers.a,1412,803,16,14,2215,2231,30
ql_api_fota.c.obj,..\..\components\ql-kernel\libs\libql_api_fota.a,1568,1106,2,0,2674,2676,2
ql_fs.c.obj,..\..\components\ql-kernel\libs\libql_api_fs.a,3580,1684,0,0,5264,5264,0
ql_fs_handler.c.obj,..\..\components\ql-kernel\libs\libql_api_fs.a,1440,734,108,12,2174,2282,120
ql_ftp_client.c.obj,..\..\components\ql-kernel\libs\libql_api_ftp.a,3358,682,8,0,4040,4048,8
ql_http_client.c.obj,..\..\components\ql-kernel\libs\libql_api_http.a,1932,407,0,4,2339,2339,4
ql_mqttclient.c.obj,..\..\components\ql-kernel\libs\libql_api_mqtt.a,2238,272,0,20,2510,2510,20
ql_api_nw.c.obj,..\..\components\ql-kernel\libs\libql_api_nw.a,6292,2901,48,20,9193,9241,68
ql_api_osi.c.obj,..\..\components\ql-kernel\libs\libql_api_osi.a,2880,1261,16,4,4141,4157,20
quec_event.c.obj,..\..\components\ql-kernel\libs\libql_api_osi.a,2450,1666,4,16,4116,4120,20
ql_power.c.obj,..\..\components\ql-kernel\libs\libql_api_power.a,1832,1387,6,10,3219,3225,16
ql_api_rtc.c.obj,..\..\components\ql-kernel\libs\libql_api_rtc.a,1502,1536,76,28,3038,3114,104
ql_api_sim.c.obj,..\..\components\ql-kernel\libs\libql_api_sim.a,3732,1213,0,1,4945,4945,1
ql_api_sms.c.obj,..\..\components\ql-kernel\libs\libql_api_sms.a,6516,1904,212,5,8420,8632,217
ql_sms_utf.c.obj,..\..\components\ql-kernel\libs\libql_api_sms.a,712,280,0,0,992,992,0
ql_api_spi.c.obj,..\..\components\ql-kernel\libs\libql_api_spi.a,1650,600,0,16,2250,2250,16
ql_api_spi_flash.c.obj,..\..\components\ql-kernel\libs\libql_api_spi_flash.a,2094,877,4,0,2971,2975,4
ql_api_virt_at.c.obj,..\..\components\ql-kernel\libs\libql_api_virt_at.a,1200,822,0,4,2022,2022,4
ql_api_voice_call.c.obj,..\..\components\ql-kernel\libs\libql_api_voice_call.a,4006,1275,80,4,5281,5361,84
ql_api_volte.c.obj,..\..\components\ql-kernel\libs\libql_api_volte.a,552,394,0,3,946,946,3
ql_ssl_ctx.c.obj,..\..\components\ql-kernel\libs\libql_apptcpip.a,658,0,0,600,658,658,600
ql_tcpip_app.c.obj,..\..\components\ql-kernel\libs\libql_at.a,7372,2142,48,48,9514,9562,96
quec_at_app_init.c.obj,..\..\components\ql-kernel\libs\libql_at.a,42,0,0,0,42,42,0
quec_atcmd_general.c.obj,..\..\components\ql-kernel\libs\libql_at.a,10808,4109,279,69,14917,15196,348
quec_atcmd_hw.c.obj,..\..\components\ql-kernel\libs\libql_at.a,1872,406,24,0,2278,2302,24
quec_atcmd_network.c.obj,..\..\components\ql-kernel\libs\libql_at.a,11150,4949,233,605,16099,16332,838
quec_atcmd_qcfg.c.obj,..\..\components\ql-kernel\libs\libql_at.a,4406,2313,120,1,6719,6839,121
quec_atcmd_qdbgcfg.c.obj,..\..\components\ql-kernel\libs\libql_at.a,1444,422,108,0,1866,1974,108
quec_atcmd_qfotadl.c.obj,..\..\components\ql-kernel\libs\libql_at.a,6050,4296,492,8,10346,10838,500
quec_atcmd_sim.c.obj,..\..\components\ql-kernel\libs\libql_at.a,1080,231,4,0,1311,1315,4
quec_data_engine.c.obj,..\..\components\ql-kernel\libs\libql_at.a,898,253,0,12,1151,1151,12
quec_msg_process.c.obj,..\..\components\ql-kernel\libs\libql_at.a,264,122,0,4,386,386,4
quec_pdp_kalive_app.c.obj,..\..\components\ql-kernel\libs\libql_at.a,1784,821,0,116,2605,2605,116
ql_audio.c.obj,..\..\components\ql-kernel\libs\libql_audio.a,5796,2479,4,131,8275,8279,135
quec_camera.c.obj,..\..\components\ql-kernel\libs\libql_bsp.a,1232,343,0,1,1575,1575,1
quec_gpio_init.c.obj,..\..\components\ql-kernel\libs\libql_bsp.a,140,0,0,0,140,140,0
quec_led_cfg_tbl.c.obj,..\..\components\ql-kernel\libs\libql_bsp.a,984,301,0,336,1285,1285,336
quec_led_task.c.obj,..\..\components\ql-kernel\libs\libql_bsp.a,1638,1051,10,44,2689,2699,54
quec_sdmmc_cfg.c.obj,..\..\components\ql-kernel\libs\libql_bsp.a,2308,777,0,521,3085,3085,521
base64.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,548,89,0,0,637,637,0
conncache.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1368,130,0,0,1498,1498,0
connect.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,3390,748,0,0,4138,4138,0
content_encoding.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,4,0,0,0,4,4,0
curl_addrinfo.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,724,0,0,0,724,724,0
curl_ctype.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,208,128,0,0,336,336,0
curl_fnmatch.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1070,49,0,0,1119,1119,0
curl_range.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,276,144,0,0,420,420,0
dotdot.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,360,16,0,0,376,376,0
dynbuf.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,432,0,0,0,432,432,0
easy.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,588,127,20,4,715,735,24
escape.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,278,0,0,0,278,278,0
fileinfo.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,52,0,0,0,52,52,0
ftp.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,12560,3792,0,0,16352,16352,0
ftplistparser.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,2396,54,0,0,2450,2450,0
getenv.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,32,0,0,0,32,32,0
getinfo.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1880,82,0,0,1962,1962,0
hash.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,656,0,0,0,656,656,0
hostip.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1908,441,0,0,2349,2349,0
hostip6.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,248,33,0,0,281,281,0
http_proxy.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,2,0,0,0,2,2,0
if2ip.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,132,0,0,0,132,132,0
llist.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,192,0,0,0,192,192,0
mbedtls.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,2718,1605,0,0,4323,4323,0
mprintf.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,3168,91,0,0,3259,3259,0
multi.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,8214,1077,0,0,9291,9291,0
nonblock.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,32,0,0,0,32,32,0
parsedate.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1140,1140,0,0,2280,2280,0
pingpong.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1332,239,0,0,1571,1571,0
progress.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1726,19,0,0,1745,1745,0
quectel_curl_io.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,458,192,0,4,650,650,4
select.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,838,0,0,0,838,838,0
sendf.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1202,277,0,0,1479,1479,0
setopt.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,6080,1,0,0,6081,6081,0
share.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,72,0,0,0,72,72,0
slist.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,144,0,0,0,144,144,0
socketpair.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,340,33,0,0,373,373,0
speedcheck.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,184,77,0,0,261,261,0
splay.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,650,32,0,0,682,682,0
strcase.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,164,0,0,0,164,164,0
strdup.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,44,0,0,0,44,44,0
strerror.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,152,3742,0,0,3894,3894,0
strtoofft.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,114,0,0,0,114,114,0
timeval.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,270,0,0,0,270,270,0
transfer.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,4146,1073,0,0,5219,5219,0
url.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,8074,1461,0,0,9535,9535,0
urlapi.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,4734,329,0,0,5063,5063,0
vtls.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,3160,336,12,209,3496,3508,221
warnless.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,98,0,0,0,98,98,0
wildcard.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,98,0,0,0,98,98,0
quec_sfs_file.c.obj,..\..\components\ql-kernel\libs\libql_file.a,4600,1441,16,0,6041,6057,16
quec_vfs_file.c.obj,..\..\components\ql-kernel\libs\libql_file.a,404,179,0,0,583,583,0
quec_ftp_client_c.c.obj,..\..\components\ql-kernel\libs\libql_ftp.a,6064,2418,0,0,8482,8482,0
quec_http_client.c.obj,..\..\components\ql-kernel\libs\libql_http.a,13252,3570,90,13,16822,16912,103
ql_lbs_client.c.obj,..\..\components\ql-kernel\libs\libql_lbs.a,5672,1114,0,12,6786,6786,12
ql_mms_client.c.obj,..\..\components\ql-kernel\libs\libql_mms.a,3624,1421,72,4,5045,5117,76
ql_mms_engine.c.obj,..\..\components\ql-kernel\libs\libql_mms.a,5526,1650,264,0,7176,7440,264
mqtt_packet.c.obj,..\..\components\ql-kernel\libs\libql_mqtt.a,2332,575,108,0,2907,3015,108
ql_mqtt_client.c.obj,..\..\components\ql-kernel\libs\libql_mqtt.a,9216,1731,0,16,10947,10947,16
ql_socket.c.obj,..\..\components\ql-kernel\libs\libql_net.a,5276,1272,0,34,6548,6548,34
ql_ssl.c.obj,..\..\components\ql-kernel\libs\libql_net.a,4094,847,0,0,4941,4941,0
ql_ntp_client.c.obj,..\..\components\ql-kernel\libs\libql_ntp.a,2574,685,0,12,3259,3259,12
ql_ping_app.c.obj,..\..\components\ql-kernel\libs\libql_ping.a,2248,609,0,12,2857,2857,12
quec_power_mg.c.obj,..\..\components\ql-kernel\libs\libql_power.a,2204,1865,117,41,4069,4186,158
quec_ppp.c.obj,..\..\components\ql-kernel\libs\libql_ppp.a,276,110,0,0,386,386,0
quec_rtos.c.obj,..\..\components\ql-kernel\libs\libql_rtos.a,180,0,0,0,180,180,0
ber_tlv_length.c.obj,..\..\components\ql-kernel\libs\libql_tlv.a,184,0,0,0,184,184,0
ber_tlv_tag.c.obj,..\..\components\ql-kernel\libs\libql_tlv.a,206,0,0,0,206,206,0
quec_linklist.c.obj,..\..\components\ql-kernel\libs\libql_urc.a,1262,0,0,0,1262,1262,0
quec_urc.c.obj,..\..\components\ql-kernel\libs\libql_urc.a,8,0,0,0,8,8,0
base64.c.obj,..\..\components\ql-kernel\libs\libql_utils.a,184,65,0,0,249,249,0
ringbuffer.c.obj,..\..\components\ql-kernel\libs\libql_utils.a,228,0,0,0,228,228,0
quec_init.c.obj,..\..\components\ql-kernel\libs\libquectel.a,408,190,0,4,598,598,4
quec_normalpowd.c.obj,..\..\components\ql-kernel\libs\libquectel.a,276,20,0,6,296,296,6
quec_ver.c.obj,..\..\components\ql-kernel\libs\libquectel.a,0,34,0,0,34,34,0
_aeabi_ldivmod.o,..\..\prebuilts\win32\gcc-arm-none-eabi\lib\gcc\arm-none-eabi\7.2.1\thumb\v7-ar\fpv3\hard\libgcc.a,160,0,0,0,160,160,0
_aeabi_uldivmod.o,..\..\prebuilts\win32\gcc-arm-none-eabi\lib\gcc\arm-none-eabi\7.2.1\thumb\v7-ar\fpv3\hard\libgcc.a,48,0,0,0,48,48,0
_arm_addsubdf3.o,..\..\prebuilts\win32\gcc-arm-none-eabi\lib\gcc\arm-none-eabi\7.2.1\thumb\v7-ar\fpv3\hard\libgcc.a,888,0,0,0,888,888,0
_divsi3.o,..\..\prebuilts\win32\gcc-arm-none-eabi\lib\gcc\arm-none-eabi\7.2.1\thumb\v7-ar\fpv3\hard\libgcc.a,688,0,0,0,688,688,0
_dvmd_tls.o,..\..\prebuilts\win32\gcc-arm-none-eabi\lib\gcc\arm-none-eabi\7.2.1\thumb\v7-ar\fpv3\hard\libgcc.a,4,0,0,0,4,4,0
_fixdfdi.o,..\..\prebuilts\win32\gcc-arm-none-eabi\lib\gcc\arm-none-eabi\7.2.1\thumb\v7-ar\fpv3\hard\libgcc.a,36,0,0,0,36,36,0
